Date,Continent,Country,Population,Total Tests,Total Cases,Active Cases,Critical Cases,Recovered,Total Deaths
2024-03-15,Europe,Monaco,39783,78646,17181,UNKNOWN,UNKNOWN,UNKNOWN,67
2024-03-15,Africa,Gabon,2331533,1621909,49051,70,UNKNOWN,48674,307
2024-03-15,Africa,Guinea,13865691,660107,38572,347,UNKNOWN,37757,468
2024-03-15,Africa,Seychelles,99426,UNKNOWN,51220,0,UNKNOWN,51048,172
2024-03-15,Africa,Tanzania,63298550,UNKNOWN,43223,UNKNOWN,UNKNOWN,UNKNOWN,846
2024-03-15,Europe,San Marino,34085,196855,26185,46,UNKNOWN,26011,128
2024-03-15,Africa,Mali,21473764,804909,33164,89,UNKNOWN,32332,743
2024-03-15,Africa,Burkina Faso,22102838,248995,22109,113,UNKNOWN,21596,400
2024-03-15,Oceania,Samoa,202239,187397,17006,15370,UNKNOWN,1605,31
2024-03-15,Africa,South Sudan,11618511,410280,18819,557,1,18115,147
2024-03-15,South America,Guyana,794045,733218,74137,824,UNKNOWN,72013,1300
2024-03-15,Oceania,Tonga,107749,535009,16950,1299,UNKNOWN,15638,13
2024-03-15,Africa,Madagascar,29178077,531329,68486,198,UNKNOWN,66862,1426
2024-03-15,North America,Belize,412190,576016,71381,UNKNOWN,UNKNOWN,UNKNOWN,688
2024-03-15,Africa,Lesotho,2175699,431221,36138,9435,UNKNOWN,25980,723
2024-03-15,North America,Haiti,11680283,132422,34667,73,UNKNOWN,33734,860
2024-03-15,Europe,Liechtenstein,38387,112457,21573,UNKNOWN,UNKNOWN,UNKNOWN,94
2024-03-15,Africa,Mauritania,4901981,1009957,63839,371,UNKNOWN,62471,997
2024-03-15,North America,Saint Lucia,185113,210983,30215,0,UNKNOWN,29805,410
2024-03-15,Africa,Togo,8680837,815088,39569,2,UNKNOWN,39277,290
2024-03-15,Asia,Macao,667490,7850,24983,21373,UNKNOWN,3487,123
2024-03-15,South America,French Guiana,314169,651257,98041,86367,6,11254,420
2024-03-15,Europe,Channel Islands,176463,1252808,101717,168,UNKNOWN,101321,228
2024-03-15,Asia,Uzbekistan,34382084,1377915,253662,10539,23,241486,1637
2024-03-15,Asia,Kyrgyzstan,6728271,1907195,206897,7500,131,196406,2991
2024-03-15,South America,Suriname,596831,242207,82588,UNKNOWN,UNKNOWN,UNKNOWN,1408
2024-03-15,Asia,Maldives,540985,2213831,186694,22691,25,163687,316
2024-03-15,Africa,Libya,7040745,2483848,507274,2,UNKNOWN,500835,6437
2024-03-15,Africa,Rwanda,13600464,6021981,133518,11,UNKNOWN,132039,1468
2024-03-15,Asia,Oman,5323993,25000000,399449,UNKNOWN,UNKNOWN,UNKNOWN,4628
2024-03-15,Africa,Kenya,56215221,3967062,344130,1132,UNKNOWN,337309,5689
2024-03-15,North America,Trinidad and Tobago,1406585,913289,191496,28,UNKNOWN,187078,4390
2024-03-15,Africa,Uganda,48432863,3012408,171983,67920,UNKNOWN,100431,3632
2024-03-15,Oceania,New Caledonia,290915,98964,80064,UNKNOWN,UNKNOWN,UNKNOWN,314
2024-03-15,North America,Honduras,10221247,1660662,474590,UNKNOWN,UNKNOWN,UNKNOWN,11165
2024-03-15,North America,Martinique,374087,828928,230354,UNKNOWN,UNKNOWN,UNKNOWN,1102
2024-03-15,North America,Guadeloupe,399794,938039,203235,UNKNOWN,UNKNOWN,UNKNOWN,1021
2024-03-15,Africa,R&eacute;union,908061,1603660,494595,UNKNOWN,UNKNOWN,UNKNOWN,921
2024-03-15,Africa,Ethiopia,120812698,5565340,501117,5372,UNKNOWN,488171,7574
2024-03-15,Africa,Algeria,45350148,230960,272010,82068,UNKNOWN,183061,6881
2024-03-15,Africa,Mozambique,33089461,1371127,233731,2676,11,228805,2250
2024-03-15,Africa,Zambia,19470234,4112961,349304,3919,UNKNOWN,341316,4069
2024-03-15,Africa,Ghana,32395450,2541625,171889,2,UNKNOWN,170425,1462
2024-03-15,Africa,Eswatini,1184817,1048704,75191,648,UNKNOWN,73116,1427
2024-03-15,Africa,Ivory Coast,27742298,1690934,88384,52,UNKNOWN,87497,835
2024-03-15,Africa,DRC,95240792,846704,99338,13381,UNKNOWN,84489,1468
2024-03-15,Asia,Armenia,2971966,3242901,451426,7488,UNKNOWN,435162,8776
2024-03-15,North America,El Salvador,6550389,2610114,201855,18215,UNKNOWN,179410,4230
2024-03-15,Africa,Senegal,17653671,1146543,89053,58,UNKNOWN,87024,1971
2024-03-15,Oceania,French Polynesia,284164,UNKNOWN,79254,UNKNOWN,UNKNOWN,UNKNOWN,650
2024-03-15,Africa,Botswana,2441162,2026898,330442,592,1,327049,2801
2024-03-15,Europe,Albania,2866374,1941032,334863,1025,UNKNOWN,330233,3605
2024-03-15,Africa,Namibia,2633874,1062663,172280,1078,UNKNOWN,167099,4103
2024-03-15,Africa,Nigeria,216746934,5708974,267188,4080,11,259953,3155
2024-03-15,North America,Barbados,288023,814159,110575,1280,UNKNOWN,108647,648
2024-03-15,Africa,Malawi,20180839,624784,89535,UNKNOWN,UNKNOWN,UNKNOWN,2686
2024-03-15,Africa,Cameroon,27911548,1751774,125379,125,UNKNOWN,123280,1974
2024-03-15,Africa,Angola,35027343,1499795,107323,1967,UNKNOWN,103419,1937
2024-03-15,Europe,Bosnia and Herzegovina,3249317,1884721,403585,8116,UNKNOWN,379084,16385
2024-03-15,Asia,Brunei,445431,717784,343075,99249,3,243601,225
2024-03-15,Europe,Iceland,345393,1996384,209889,UNKNOWN,UNKNOWN,UNKNOWN,229
2024-03-15,Europe,North Macedonia,2081304,2226216,350520,3481,UNKNOWN,337068,9971
2024-03-15,Africa,Zimbabwe,15331428,2525756,266328,1703,12,258888,5737
2024-03-15,Europe,Luxembourg,642371,4587145,391117,UNKNOWN,UNKNOWN,UNKNOWN,1232
2024-03-15,Asia,Laos,7481023,1233207,218951,UNKNOWN,UNKNOWN,UNKNOWN,758
2024-03-15,Asia,Cambodia,17168639,3091420,139096,1,UNKNOWN,136039,3056
2024-03-15,Europe,Montenegro,627950,2769281,296501,1861,UNKNOWN,291794,2846
2024-03-15,Europe,Malta,444033,2169412,121410,381,UNKNOWN,120144,885
2024-03-15,Asia,Afghanistan,40754388,1366532,232152,14003,UNKNOWN,210164,7985
2024-03-15,North America,Jamaica,2985094,1183986,156869,UNKNOWN,UNKNOWN,UNKNOWN,3756
2024-03-15,Asia,Jordan,10300869,17201885,1746997,1868,59,1731007,14122
2024-03-15,Europe,Belarus,9432800,13646641,994037,1327,UNKNOWN,985592,7118
2024-03-15,South America,Venezuela,29266991,3359014,552695,302,31,546537,5856
2024-03-15,Asia,Kazakhstan,19205043,11575012,1411831,14963,24,1383020,13848
2024-03-15,Africa,Egypt,106156692,3693367,516023,49228,122,442182,24613
2024-03-15,Asia,Qatar,2979915,4065369,514524,147,16,513687,690
2024-03-15,Asia,Lebanon,6684849,4795578,1243838,145299,74,1087587,10952
2024-03-15,Asia,Nepal,30225582,6047766,1003450,97,UNKNOWN,991322,12031
2024-03-15,Asia,Pakistan,229488994,30589153,1581936,12583,UNKNOWN,1538689,30664
2024-03-15,Asia,Iraq,42164965,19544451,2465545,673,UNKNOWN,2439497,25375
2024-03-15,North America,Costa Rica,5182354,4659757,1238883,UNKNOWN,UNKNOWN,UNKNOWN,9428
2024-03-15,Africa,Tunisia,12046656,5013383,1153361,UNKNOWN,UNKNOWN,UNKNOWN,29423
2024-03-15,Asia,Saudi Arabia,35844909,45481735,841469,UNKNOWN,UNKNOWN,UNKNOWN,9646
2024-03-15,Asia,Palestine,5345541,3078533,621008,159,UNKNOWN,615445,5404
2024-03-15,Asia,Georgia,3968738,16920079,1855289,UNKNOWN,UNKNOWN,UNKNOWN,17132
2024-03-15,Asia,UAE,10081785,200732262,1067030,UNKNOWN,UNKNOWN,UNKNOWN,2349
2024-03-15,Asia,Bahrain,1783983,10948549,729549,60,UNKNOWN,727915,1574
2024-03-15,South America,Uruguay,3496016,6114822,1041111,2503,18,1030944,7664
2024-03-15,South America,Bolivia,11992656,2710261,1211716,12164,220,1177145,22407
2024-03-15,Europe,Croatia,4059286,5660084,1309728,32609,UNKNOWN,1258432,18687
2024-03-15,Asia,Cyprus,1223387,9640118,681110,0,UNKNOWN,679745,1365
2024-03-15,South America,Ecuador,18113361,3082403,1070188,0,UNKNOWN,1034145,36043
2024-03-15,North America,Dominican Republic,11056370,3740928,675890,190,4,671316,4384
2024-03-15,South America,Paraguay,7305843,2657506,837602,UNKNOWN,UNKNOWN,UNKNOWN,20155
2024-03-15,Asia,Bangladesh,167885689,15254399,2048186,UNKNOWN,UNKNOWN,UNKNOWN,29488
2024-03-15,Asia,Azerbaijan,10300205,7748050,834649,160,UNKNOWN,824089,10400
2024-03-15,Europe,Hungary,9606259,11394556,2229987,28792,UNKNOWN,2152155,49040
2024-03-15,Asia,Kuwait,4380326,8455743,667094,UNKNOWN,UNKNOWN,UNKNOWN,2570
2024-03-15,Africa,Morocco,37772756,13001033,1278944,UNKNOWN,UNKNOWN,UNKNOWN,16301
2024-03-15,Europe,Moldova,4013171,3216305,634508,UNKNOWN,UNKNOWN,UNKNOWN,12206
2024-03-15,Europe,Slovakia,5460193,7448789,1877383,0,23,1856162,21221
2024-03-15,Asia,Mongolia,3378078,4030048,1011459,0,UNKNOWN,1009175,2284
2024-03-15,North America,Guatemala,18584039,7593848,1288588,2770,5,1265533,20285
2024-03-15,Asia,Sri Lanka,21575842,6486117,672750,1,UNKNOWN,655852,16897
2024-03-15,North America,Panama,4446964,7882622,1059893,64,16,1051102,8727
2024-03-15,Europe,Norway,5511370,11002430,1509732,0,UNKNOWN,1503094,6638
2024-03-15,Asia,Singapore,5943546,24756666,3006155,0,4,3004131,2024
2024-03-15,Asia,Hong Kong,7604299,76127725,2932172,4880,UNKNOWN,2912611,14681
2024-03-15,Europe,Serbia,8653016,13440321,2614548,300,UNKNOWN,2596191,18057
2024-03-15,Europe,Estonia,1321910,6953709,627927,UNKNOWN,UNKNOWN,UNKNOWN,3001
2024-03-15,Europe,Latvia,1848837,7885792,982342,4234,UNKNOWN,971406,6702
2024-03-15,North America,Cuba,11305652,14401842,1115247,63,UNKNOWN,1106654,8530
2024-03-15,Europe,Ireland,5020199,13083449,1733755,269,19,1724005,9481
2024-03-15,Europe,Lithuania,2661708,10540357,1397059,795,UNKNOWN,1386367,9897
2024-03-15,Asia,Myanmar,55227143,11711514,641868,2214,UNKNOWN,620159,19495
2024-03-15,Oceania,New Zealand,4898203,7768604,2609005,3039,UNKNOWN,2600325,5641
2024-03-15,Europe,Slovenia,2078034,2847701,1356495,18,UNKNOWN,1349377,7100
2024-03-15,Europe,Bulgaria,6844597,11648127,1339621,8190,35,1292690,38741
2024-03-15,Europe,Sweden,10218971,19500873,2753556,359,UNKNOWN,2725843,27354
2024-03-15,Europe,Finland,5554960,12108977,1515707,339,UNKNOWN,1503419,11949
2024-03-15,Asia,DPRK,25990679,UNKNOWN,4772813,0,UNKNOWN,4772739,74
2024-03-15,Africa,South Africa,60756135,26795090,4076463,61362,192,3912506,102595
2024-03-15,Europe,Ukraine,43192122,32603805,5557995,0,UNKNOWN,5445577,112418
2024-03-15,Europe,Spain,46719142,471036328,13914811,30634,231,13762417,121760
2024-03-15,Asia,Taiwan,23888595,30742304,10241523,0,UNKNOWN,10222518,19005
2024-03-15,Asia,Japan,125584838,100414883,33803572,UNKNOWN,UNKNOWN,UNKNOWN,74694
2024-03-15,Europe,Austria,9066710,211273524,6081287,3811,UNKNOWN,6054934,22542
2024-03-15,Europe,Denmark,5834950,129333107,3183756,0,UNKNOWN,3174942,8814
2024-03-15,Europe,France,65584518,271490188,40138560,0,UNKNOWN,39970918,167642
2024-03-15,Asia,S Korea,51329899,15804065,34571873,0,UNKNOWN,34535939,35934
2024-03-15,Asia,Turkey,85561976,162743369,17232066,UNKNOWN,UNKNOWN,UNKNOWN,102174
2024-03-15,Asia,Israel,9326000,41373364,4841772,30592,UNKNOWN,4798473,12707
2024-03-15,Europe,Greece,10316637,102228365,6101379,UNKNOWN,UNKNOWN,UNKNOWN,37869
2024-03-15,Asia,Philippines,112508994,36102746,4140383,6138,UNKNOWN,4067381,66864
2024-03-15,North America,Mexico,131562772,20013810,7702809,467986,UNKNOWN,6899865,334958
2024-03-15,South America,Peru,33684208,39010194,4572667,0,4,4350506,222161
2024-03-15,Asia,Iran,86022837,57320267,7626527,UNKNOWN,UNKNOWN,UNKNOWN,146799
2024-03-15,South America,Argentina,46010234,35716069,10094643,0,UNKNOWN,9963910,130733
2024-03-15,South America,Colombia,51512762,36951507,6400173,44821,342,6212152,143200
2024-03-15,Asia,Vietnam,98953541,85826548,11625195,941018,UNKNOWN,10640971,43206
2024-03-15,Europe,Italy,60262770,280517410,26719511,171192,45,26351971,196348
2024-03-15,Asia,Malaysia,33181072,68580916,5276312,8011,11,5230953,37348
2024-03-15,Africa,Africa,UNKNOWN,UNKNOWN,12860287,510612,529,12090791,258884
2024-03-15,Asia,Thailand,70078203,17273454,4767700,40495,UNKNOWN,4692636,34569
2024-03-15,Europe,UK,68497907,522526476,24902971,0,UNKNOWN,24670859,232112
2024-03-15,Asia,Indonesia,279134505,114158919,6829087,19921,UNKNOWN,6647104,162062
2024-03-15,Europe,Portugal,10140570,46139518,5642449,0,61,5614346,28103
2024-03-15,Europe,Russia,145805947,273400000,24033703,181240,UNKNOWN,23449999,402464
2024-03-15,Europe,Netherlands,17211447,25984435,8634822,0,UNKNOWN,8611830,22992
2024-03-15,Europe,Switzerland,8773637,23833472,4451785,0,UNKNOWN,4437333,14452
2024-03-15,Europe,Romania,19031335,28696709,3528237,1187,28,3458139,68911
2024-03-15,South America,Brazil,215353593,63776166,38592310,1632722,UNKNOWN,36249161,710427
2024-03-15,Asia,India,1406631776,935879495,45032096,UNKNOWN,UNKNOWN,UNKNOWN,533513
2024-03-15,Asia,Asia,UNKNOWN,UNKNOWN,221472146,14256067,14733,205662764,1553315
